"ID_REF","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974","Ensembl","GeneName"
"1007_s_at","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9","ENSG00000234078","DDR1"
"1007_s_at","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9","ENSG00000230456","DDR1"
"1007_s_at","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9","ENSG00000204580","DDR1"
"1007_s_at","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9","ENSG00000215522","DDR1"
"1007_s_at","858.6","1088.8","552.9","356.7","467.2","623.9","426.9","288.7","318.7","431.2","618.3","488.9","ENSG00000137332","DDR1"
"1053_at","227.6","241.3","224","247.2","158.9","130.6","164.1","187","183.8","113","121","130.9","ENSG00000049541","RFC2"
"117_at","37.5","14.5","142.2","50.5","53.1","32.6","26.9","12.1","53.5","33.7","8.8","30.2","ENSG00000225217","HSPA7"
"117_at","37.5","14.5","142.2","50.5","53.1","32.6","26.9","12.1","53.5","33.7","8.8","30.2","ENSG00000173110","HSPA6"
"121_at","272.1","279.6","134.6","384.6","359.5","375","190.8","312.9","231.5","275.9","318.4","349","ENSG00000125618","PAX8"
"1255_g_at","60.7","114.4","259","77.6","14.5","27.4","22.8","16.3","4.7","16.1","57.2","2.4","ENSG00000048545","GUCA1A"
"1294_at","78.5","93.1","190","354.6","340.3","583.9","383.6","552.2","162.6","192.4","363.6","509.6","ENSG00000283726","MIR5193"
"1294_at","78.5","93.1","190","354.6","340.3","583.9","383.6","552.2","162.6","192.4","363.6","509.6","ENSG00000182179","UBA7"
"1316_at","107.3","97.2","75.8","221","82.7","91.8","96.3","73.1","79.6","77.5","162","80.1","ENSG00000126351","THRA"
"1320_at","14.5","17.5","19.7","8.1","37.3","59","72.4","18.7","29.2","51.6","47.6","42.7","ENSG00000070778","PTPN21"
"1405_i_at","24","4.1","32.2","58.6","28.7","44.2","18","50.4","1.1","1.8","1.8","28.6","ENSG00000274233","CCL5"
"1405_i_at","24","4.1","32.2","58.6","28.7","44.2","18","50.4","1.1","1.8","1.8","28.6","ENSG00000271503","CCL5"
"1431_at","34.8","47.2","19.6","6.3","13.4","18.7","12.7","6.5","27","35.5","4","33.8","ENSG00000130649","CYP2E1"
"1438_at","11.1","90.1","27.3","25.7","33.4","9.5","45.6","17.4","30.6","57","5.8","45.6","ENSG00000182580","EPHB3"
"1487_at","186.8","228.6","170.8","176.8","250","190.9","226.6","298.7","240.4","356.1","207.2","296.5","ENSG00000215572","ESRRAP1"
"1487_at","186.8","228.6","170.8","176.8","250","190.9","226.6","298.7","240.4","356.1","207.2","296.5","ENSG00000173153","ESRRA"
"1494_f_at","26.8","68.9","41","26.3","34.4","43","14.7","56.7","37.9","52.2","79.3","59.4","ENSG00000255974","CYP2A6"
"1494_f_at","26.8","68.9","41","26.3","34.4","43","14.7","56.7","37.9","52.2","79.3","59.4","ENSG00000198077","CYP2A7"
"1598_g_at","752","1012.1","801.9","1234.6","3343.4","2334","4326.8","2664.8","1062.8","3230.9","6723.5","4003.2","ENSG00000183087","GAS6"
"160020_at","74.4","190.5","48.6","98.7","273.2","107.1","231.4","301.3","434.3","940.7","415.1","790.3","ENSG00000157227","MMP14"
"1729_at","202.4","423.7","385.3","559","287.9","316.6","400.7","301.7","448.7","453.2","553.9","389.2","ENSG00000102871","TRADD"
"177_at","65.9","67.4","94.9","98.4","59.4","77.4","46.1","68.7","74.8","83.3","65.4","66.9","ENSG00000075651","PLD1"
"1773_at","35.5","109.6","71.6","62.2","103.1","28.5","43.1","84.1","43","110.6","25.3","123.4","ENSG00000257365","FNTB"
"1773_at","35.5","109.6","71.6","62.2","103.1","28.5","43.1","84.1","43","110.6","25.3","123.4","ENSG00000125954","CHURC1-FNTB"
"179_at","65.2","257","18.2","100.9","142.3","110.3","107.5","35.3","98.6","113","89.3","100.1","ENSG00000265479","DTX2P1-UPK3BP1-PMS2P11"
"179_at","65.2","257","18.2","100.9","142.3","110.3","107.5","35.3","98.6","113","89.3","100.1","ENSG00000242435","UPK3BP1"
"1861_at","104.8","112.6","193.1","305.5","181","186.8","162.6","191.2","244.4","178.2","278.8","118.7","ENSG00000002330","BAD"
"200000_s_at","1268.7","1343.4","1626.4","1237.4","882.7","1162.7","1434.8","866.3","1049.8","1073.8","1091.5","1380","ENSG00000174231","PRPF8"
"200000_s_at","1268.7","1343.4","1626.4","1237.4","882.7","1162.7","1434.8","866.3","1049.8","1073.8","1091.5","1380","ENSG00000274442","PRPF8"
"200001_at","851.2","946.4","1326.7","1941","3667.3","2898.6","3160.6","3682","1759.9","2857.8","3161.5","3887.5","ENSG00000126247","CAPNS1"
"200002_at","7594.1","10187.6","9019.1","9526.8","5979.4","7211.4","4746.4","6182","4969.3","3739","11229.9","5105.8","ENSG00000136942","RPL35"
"200003_s_at","4724.3","8801.2","14429.6","14786.9","7085.7","15275.1","7626.8","5297.5","12839.5","6271.3","21581","7028.4","ENSG00000108107","RPL28"
"200004_at","10594.9","10469.6","9261.3","8984.6","10343.1","10298.6","9971.5","9967.6","10776.5","10634.8","10306.7","10047.7","ENSG00000110321","EIF4G2"
"200005_at","1779.2","4420.4","3904.8","3859.6","2809.3","4430.8","4890.8","3305.6","4137.8","4024.9","4026.4","3257.8","ENSG00000100353","EIF3D"
"200006_at","13403.9","13996","9195.4","10125","13682.6","11732.5","8754.7","12890.2","11447.1","10495.5","14219","10719.9","ENSG00000116288","PARK7"
"200007_at","7481.1","10101.8","8314.1","8627.5","6963.1","8242.2","6707","7112.3","10414.5","8488.4","12687.8","5951.9","ENSG00000140319","SRP14"
"200008_s_at","977.1","1009.2","625","286.3","1299.7","634.3","1061.1","1457.9","864.3","1193.2","383.9","1318","ENSG00000057608","GDI2"
"200009_at","8087.2","9476.4","5390","5109.9","8622.9","7163.9","5421.6","7596.5","7531.8","7391.6","5872","7337.8","ENSG00000057608","GDI2"
"200010_at","5974.6","10524.6","10690.2","11239","5737.3","7783.8","6316.4","5858.6","8803.8","4428","10582.8","3977.1","ENSG00000142676","RPL11"
"200011_s_at","1943","2852.3","1670.9","1993.9","2010.5","1089.3","1892","1714.6","1554","1749.1","1335.7","1745.6","ENSG00000134287","ARF3"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000207051","SNORA27"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000239470","AC011979.1"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000220749","RPL21P28"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000220793","RPL21P119"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000214760","RPL21P1"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000244021","AC093591.1"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000242571","RPL21P11"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000229605","RPL21P93"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000243181","AC087343.1"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000213860","RPL21P75"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000122026","RPL21"
"200012_x_at","12029.4","16650.4","12594.7","12816.7","9640.6","11250.3","8564","9524.5","11905.7","7911","19138.1","8580.7","ENSG00000220842","RPL21P16"
"200013_at","8096.6","9968.4","8650.4","9063","5975.6","7728.3","7938.2","6271.9","11615.5","5784.3","14542.9","5723.2","ENSG00000181524","RPL24P4"
